"","state","name","vote_percent","market_close","poll_estimate","poll_trend_adjusted","final_rank","contest_date","date_dropped","winner","poll_cutoff","viable_candidates"
"28","Utah","Michael Bloomberg",0.154,0.05,0.1401771,0.1615,4,2020-03-03,2020-03-04,"No",1,4
"29","Tennessee","Joe Biden",0.417,0.87,0.3469463,0.2571,1,2020-03-03,NA,"Yes",1,3
"30","Tennessee","Bernie Sanders",0.25,0.11,0.1192909,0.2499,2,2020-03-03,NA,"No",1,3
"31","Tennessee","Elizabeth Warren",0.104,0.01,0.1699764,0.1508,4,2020-03-03,2020-03-05,"No",1,3
"32","Tennessee","Tulsi Gabbard",0.004,0.01,0.009296784,0.0139,7,2020-03-03,2020-03-19,"No",0,3
"33","South Carolina","Joe Biden",0.487,0.9,0.385657,0.3844,1,2020-02-29,NA,"Yes",1,4
"34","South Carolina","Bernie Sanders",0.198,0.12,0.1920611,0.1912,2,2020-02-29,NA,"No",1,4
"35","South Carolina","Elizabeth Warren",0.071,0.01,0.07091537,0.0703,5,2020-02-29,2020-03-05,"No",1,4
"36","South Carolina","Amy Klobuchar",0.031,0.01,0.04220977,0.0426,6,2020-02-29,2020-03-02,"No",0,4
"37","South Carolina","Pete Buttigieg",0.082,0.01,0.08413222,0.0845,4,2020-02-29,2020-03-01,"No",1,4
"38","South Carolina","Tulsi Gabbard",0.013,0.01,0.02624738,0.026,7,2020-02-29,2020-03-19,"No",0,4
"39","Oklahoma","Joe Biden",0.387,0.68,0.1851862,0.1837,1,2020-03-03,NA,"Yes",1,4
"40","Oklahoma","Bernie Sanders",0.254,0.27,0.128666,0.1714,2,2020-03-03,NA,"No",1,4
"41","Oklahoma","Elizabeth Warren",0.134,0.01,0.08934114,0.0897,4,2020-03-03,2020-03-05,"No",1,4
"42","Oklahoma","Tulsi Gabbard",0.017,0.01,0.002849958,0.0032,7,2020-03-03,2020-03-19,"No",0,4
"43","Oklahoma","Michael Bloomberg",0.139,0.12,0.1901838,0.1819,3,2020-03-03,2020-03-04,"No",1,4
"44","Missouri","Joe Biden",0.601,0.97,0.4592897,0.5467,1,2020-03-10,NA,"Yes",1,2
