"","state","name","vote_percent","market_close","poll_estimate","poll_trend_adjusted","final_rank","contest_date","date_dropped","winner"
"68","Idaho","Tulsi Gabbard",0.008,0.01,0.01510822,0.0153,6,2020-03-10,2020-03-19,0
"69","Florida","Joe Biden",0.62,0.99,0.6335148,0.6353,1,2020-03-17,NA,1
"70","Florida","Bernie Sanders",0.228,0.02,0.2255848,0.2292,2,2020-03-17,NA,0
"71","Florida","Tulsi Gabbard",0.005,0.01,0.01452054,0.0144,7,2020-03-17,2020-03-19,0
"72","Colorado","Joe Biden",0.247,0.04,0.1318517,0.122,2,2020-03-03,NA,0
"73","Colorado","Bernie Sanders",0.37,0.95,0.2964437,0.3311,1,2020-03-03,NA,1
"74","Colorado","Elizabeth Warren",0.176,0.02,0.1574409,0.1508,4,2020-03-03,2020-03-05,0
"75","Colorado","Tulsi Gabbard",0.01,0.01,0.006934389,0.007,5,2020-03-03,2020-03-19,0
"76","Colorado","Michael Bloomberg",0.185,0.01,0.1055766,0.1039,3,2020-03-03,2020-03-04,0
"77","California","Joe Biden",0.28,0.08,0.2027204,0.2032,2,2020-03-03,NA,0
"78","California","Bernie Sanders",0.355,0.93,0.3342555,0.342,1,2020-03-03,NA,1
"79","California","Elizabeth Warren",0.133,0.01,0.1560192,0.156,3,2020-03-03,2020-03-05,0
"80","California","Tulsi Gabbard",0.006,0.01,0.01126549,0.0113,9,2020-03-03,2020-03-19,0
"81","California","Michael Bloomberg",0.122,0.01,0.132518,0.1327,4,2020-03-03,2020-03-04,0
"82","Arkansas","Joe Biden",0.405,0.82,0.185,0.1787,1,2020-03-03,NA,1
"83","Arkansas","Bernie Sanders",0.224,0.14,0.164,0.2253,2,2020-03-03,NA,0
"84","Arkansas","Elizabeth Warren",0.1,0.01,0.08900001,0.0927,4,2020-03-03,2020-03-05,0
"85","Arkansas","Michael Bloomberg",0.167,0.1,0.196,0.2022,3,2020-03-03,2020-03-04,0
"86","Arizona","Joe Biden",0.444,0.97,0.4886149,0.5522,1,2020-03-17,NA,1
"87","Arizona","Bernie Sanders",0.329,0.03,0.2915187,0.3178,2,2020-03-17,NA,0
"88","Arizona","Tulsi Gabbard",0.005,0.01,0.01042096,0.0137,7,2020-03-17,2020-03-19,0
"89","Massachusetts","Joe Biden",0.336,0.05,0.1120145,0.1201,1,2020-03-03,NA,1
"90","Massachusetts","Bernie Sanders",0.267,0.75,0.2558294,0.2662,2,2020-03-03,NA,0
"91","Massachusetts","Elizabeth Warren",0.214,0.23,0.2055951,0.2099,3,2020-03-03,2020-03-05,0
"92","Massachusetts","Tulsi Gabbard",0.008,0.01,0.01107272,0.0107,7,2020-03-03,2020-03-19,0
"93","Massachusetts","Michael Bloomberg",0.118,0.01,0.1210835,0.1172,4,2020-03-03,2020-03-04,0
"94","Alabama","Joe Biden",0.633,0.96,0.4456832,0.3367,1,2020-03-03,NA,1
"95","Alabama","Bernie Sanders",0.165,0.04,0.1083586,0.1918,2,2020-03-03,NA,0
"96","Alabama","Elizabeth Warren",0.057,0.01,0.04858304,0.0846,4,2020-03-03,2020-03-05,0
"97","Alabama","Tulsi Gabbard",0.002,0.01,0,0.0016,8,2020-03-03,2020-03-19,0
"98","Nevada","Joe Biden",0.202,0.04,0.1471368,0.1436,2,2020-02-22,NA,0
"99","Nevada","Bernie Sanders",0.468,0.9,0.3026876,0.3046,1,2020-02-22,NA,1
"100","Nevada","Elizabeth Warren",0.097,0.02,0.1191668,0.1177,4,2020-02-22,2020-03-05,0
"101","Nevada","Amy Klobuchar",0.042,0.01,0.08794688,0.0889,6,2020-02-22,2020-03-02,0
"102","Nevada","Pete Buttigieg",0.143,0.07,0.1520566,0.1532,3,2020-02-22,2020-03-01,0
"103","New Hampshire","Joe Biden",0.084,0.01,0.1224643,0.1195,5,2020-02-11,NA,0
"104","New Hampshire","Bernie Sanders",0.257,0.81,0.2583232,0.2586,1,2020-02-11,NA,1
"105","New Hampshire","Elizabeth Warren",0.092,0.01,0.1267299,0.1258,4,2020-02-11,2020-03-05,0
"106","New Hampshire","Amy Klobuchar",0.198,0.02,0.1028283,0.1027,3,2020-02-11,2020-03-02,0
"107","New Hampshire","Andrew Yang",0.028,0.01,0.03012269,0.0299,8,2020-02-11,2020-02-11,0
"108","New Hampshire","Pete Buttigieg",0.244,0.19,0.2131018,0.2138,2,2020-02-11,2020-03-01,0
"109","New Hampshire","Tulsi Gabbard",0.033,0.01,0.02885877,0.0288,7,2020-02-11,2020-03-19,0
"110","New Hampshire","Deval Patrick",0.004,0.01,0.006850718,0.0067,10,2020-02-11,2020-02-12,0
"111","Iowa","Joe Biden",0.158,0.25,0.2091228,0.2096,4,2020-02-03,NA,0
"112","Iowa","Bernie Sanders",0.261,0.68,0.2212828,0.2218,2,2020-02-03,NA,0
"113","Iowa","Elizabeth Warren",0.18,0.06,0.1457696,0.1467,3,2020-02-03,2020-03-05,0
"114","Iowa","Amy Klobuchar",0.123,0.01,0.1002513,0.1007,5,2020-02-03,2020-03-02,0
"115","Iowa","Andrew Yang",0.01,0.03,0.03780797,0.0376,6,2020-02-03,2020-02-11,0
"116","Iowa","Pete Buttigieg",0.262,0.08,0.1566978,0.1538,1,2020-02-03,2020-03-01,1
