year,state,name,date,contest_date,market_close,poll_estimate,poll_trend_adjusted,date_dropped,vote_percent,winner
2016,Wisconsin,Hillary Clinton,2016-03-22,2016-04-05,0.28,0.4509455,0.4476,NA,0.43100000000000005,0
2016,Wisconsin,Bernie Sanders,2016-03-22,2016-04-05,0.75,0.3916489,0.4966,NA,0.5660000000000001,1
2016,Wisconsin,Hillary Clinton,2016-03-23,2016-04-05,0.49,0.4538963,0.4515,NA,0.43100000000000005,0
2016,Wisconsin,Bernie Sanders,2016-03-23,2016-04-05,0.52,0.4096849,0.4822,NA,0.5660000000000001,1
2016,Wisconsin,Hillary Clinton,2016-03-24,2016-04-05,0.46,0.45393700000000003,0.4497,NA,0.43100000000000005,0
2016,Wisconsin,Bernie Sanders,2016-03-24,2016-04-05,0.55,0.4092422,0.4824,NA,0.5660000000000001,1
2016,Wisconsin,Hillary Clinton,2016-03-25,2016-04-05,0.4,0.4539774,0.4492,NA,0.43100000000000005,0
2016,Wisconsin,Bernie Sanders,2016-03-25,2016-04-05,0.6,0.4089635,0.4837,NA,0.5660000000000001,1
2016,Wisconsin,Hillary Clinton,2016-03-26,2016-04-05,0.33,0.45401,0.449,NA,0.43100000000000005,0
2016,Wisconsin,Bernie Sanders,2016-03-26,2016-04-05,0.7,0.40869970000000005,0.484,NA,0.5660000000000001,1
2016,Wisconsin,Hillary Clinton,2016-03-27,2016-04-05,0.31,0.454028,0.4471,NA,0.43100000000000005,0
2016,Wisconsin,Bernie Sanders,2016-03-27,2016-04-05,0.7,0.40815260000000003,0.4834,NA,0.5660000000000001,1
2016,Wisconsin,Hillary Clinton,2016-03-28,2016-04-05,0.34,0.4540757,0.4455,NA,0.43100000000000005,0
2016,Wisconsin,Bernie Sanders,2016-03-28,2016-04-05,0.67,0.4072854,0.4839,NA,0.5660000000000001,1
2016,Wisconsin,Hillary Clinton,2016-03-29,2016-04-05,0.3,0.453536,0.4494,NA,0.43100000000000005,0
2016,Wisconsin,Bernie Sanders,2016-03-29,2016-04-05,0.71,0.43597050000000004,0.4812,NA,0.5660000000000001,1
2016,Wisconsin,Hillary Clinton,2016-03-30,2016-04-05,0.19,0.4566762,0.4556,NA,0.43100000000000005,0
2016,Wisconsin,Bernie Sanders,2016-03-30,2016-04-05,0.82,0.4380153,0.4629,NA,0.5660000000000001,1
2016,Wisconsin,Hillary Clinton,2016-03-31,2016-04-05,0.12,0.44746139999999995,0.4477,NA,0.43100000000000005,0
2016,Wisconsin,Bernie Sanders,2016-03-31,2016-04-05,0.88,0.453174,0.454,NA,0.5660000000000001,1
2016,Wisconsin,Hillary Clinton,2016-04-01,2016-04-05,0.14,0.4472063,0.4469,NA,0.43100000000000005,0
2016,Wisconsin,Bernie Sanders,2016-04-01,2016-04-05,0.88,0.4535758,0.4556,NA,0.5660000000000001,1
2016,Wisconsin,Hillary Clinton,2016-04-02,2016-04-05,0.27,0.45245959999999996,0.452,NA,0.43100000000000005,0
2016,Wisconsin,Bernie Sanders,2016-04-02,2016-04-05,0.77,0.4593568,0.4579,NA,0.5660000000000001,1
2016,Wisconsin,Hillary Clinton,2016-04-03,2016-04-05,0.17,0.45231879999999997,0.4514,NA,0.43100000000000005,0
2016,Wisconsin,Bernie Sanders,2016-04-03,2016-04-05,0.83,0.4594552,0.4579,NA,0.5660000000000001,1
2016,Wisconsin,Hillary Clinton,2016-04-04,2016-04-05,0.13,0.44415570000000004,0.4435,NA,0.43100000000000005,0
2016,Wisconsin,Bernie Sanders,2016-04-04,2016-04-05,0.88,0.4749793,0.4751,NA,0.5660000000000001,1
2016,Wisconsin,Hillary Clinton,2016-04-05,2016-04-05,0.01,0.4442006,0.443,NA,0.43100000000000005,0
2016,Wisconsin,Bernie Sanders,2016-04-05,2016-04-05,0.99,0.4745055,0.4749,NA,0.5660000000000001,1
2016,West Virginia,Bernie Sanders,2016-03-29,2016-05-10,0.69,0.33282940000000005,0.3781,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-03-29,2016-05-10,0.36,0.3543591,0.3455,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-03-30,2016-05-10,0.63,0.3327837,0.3764,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-03-30,2016-05-10,0.4,0.3543616,0.349,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-03-31,2016-05-10,0.65,0.3327532,0.3761,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-03-31,2016-05-10,0.39,0.3543655,0.3504,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-01,2016-05-10,0.67,0.33278660000000004,0.3818,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-01,2016-05-10,0.32,0.35433410000000004,0.3503,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-02,2016-05-10,0.67,0.3327271,0.3819,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-02,2016-05-10,0.32,0.3543162,0.3502,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-03,2016-05-10,0.67,0.33273539999999996,0.386,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-03,2016-05-10,0.31,0.3543021,0.3429,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-04,2016-05-10,0.7,0.3327275,0.3887,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-04,2016-05-10,0.3,0.3542749,0.3359,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-05,2016-05-10,0.65,0.33270760000000005,0.3943,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-05,2016-05-10,0.36,0.3542736,0.3313,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-06,2016-05-10,0.65,0.33276649999999997,0.3941,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-06,2016-05-10,0.35,0.3542828,0.3314,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-07,2016-05-10,0.57,0.3327697,0.3983,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-07,2016-05-10,0.41,0.35426250000000004,0.3295,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-08,2016-05-10,0.59,0.3326865,0.3925,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-08,2016-05-10,0.42,0.3542952,0.3376,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-09,2016-05-10,0.54,0.3327012,0.3925,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-09,2016-05-10,0.47,0.3542888,0.3376,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-10,2016-05-10,0.43,0.3326707,0.389,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-10,2016-05-10,0.59,0.3542461,0.3416,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-11,2016-05-10,0.48,0.33255049999999997,0.3858,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-11,2016-05-10,0.54,0.3542678,0.3452,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-12,2016-05-10,0.47,0.3325342,0.3869,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-12,2016-05-10,0.53,0.3542632,0.3376,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-13,2016-05-10,0.55,0.33253720000000003,0.3885,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-13,2016-05-10,0.47,0.35426670000000005,0.3374,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-14,2016-05-10,0.5,0.3325608,0.392,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-14,2016-05-10,0.5,0.35427660000000005,0.3354,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-15,2016-05-10,0.47,0.3325682,0.3973,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-15,2016-05-10,0.52,0.35427349999999996,0.3348,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-16,2016-05-10,0.41,0.33257210000000004,0.401,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-16,2016-05-10,0.56,0.3542751,0.3351,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-17,2016-05-10,0.46,0.33257129999999996,0.4011,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-17,2016-05-10,0.57,0.3542763,0.336,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-18,2016-05-10,0.37,0.3325513,0.3988,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-18,2016-05-10,0.65,0.3542608,0.3314,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-19,2016-05-10,0.37,0.33264150000000003,0.401,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-19,2016-05-10,0.63,0.3540307,0.3299,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-20,2016-05-10,0.36,0.3329293,0.3972,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-20,2016-05-10,0.65,0.3539723,0.338,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-21,2016-05-10,0.27,0.3329074,0.3992,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-21,2016-05-10,0.74,0.35397480000000003,0.3411,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-22,2016-05-10,0.33,0.3328928,0.3941,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-22,2016-05-10,0.71,0.35398240000000003,0.3472,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-23,2016-05-10,0.31,0.3328802,0.3936,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-23,2016-05-10,0.71,0.3539846,0.3394,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-24,2016-05-10,0.26,0.332866,0.3893,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-24,2016-05-10,0.75,0.353996,0.3447,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-25,2016-05-10,0.3,0.33285359999999997,0.3914,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-25,2016-05-10,0.71,0.354004,0.3467,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-26,2016-05-10,0.4,0.33285089999999995,0.3868,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-26,2016-05-10,0.61,0.3540028,0.3522,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-27,2016-05-10,0.5,0.33280479999999996,0.3857,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-27,2016-05-10,0.5,0.3542322,0.3483,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-28,2016-05-10,0.45,0.33281550000000004,0.3739,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-28,2016-05-10,0.55,0.3542248,0.3633,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-29,2016-05-10,0.45,0.33281570000000005,0.3703,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-29,2016-05-10,0.57,0.35424059999999996,0.358,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-04-30,2016-05-10,0.45,0.33281570000000005,0.3703,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-04-30,2016-05-10,0.59,0.35424059999999996,0.358,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-05-01,2016-05-10,0.48,0.3327989,0.3679,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-05-01,2016-05-10,0.53,0.3542635,0.3609,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-05-02,2016-05-10,0.52,0.39846620000000005,0.4139,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-05-02,2016-05-10,0.52,0.365637,0.3689,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-05-03,2016-05-10,0.78,0.41056,0.4205,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-05-03,2016-05-10,0.23,0.3829928,0.3847,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-05-04,2016-05-10,0.84,0.4103695,0.4196,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-05-04,2016-05-10,0.18,0.3828973,0.3856,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-05-05,2016-05-10,0.84,0.4078491,0.4142,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-05-05,2016-05-10,0.16,0.381755,0.3887,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-05-06,2016-05-10,0.87,0.40705260000000004,0.411,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-05-06,2016-05-10,0.14,0.38139629999999997,0.3912,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-05-07,2016-05-10,0.9,0.40625540000000004,0.4089,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-05-07,2016-05-10,0.1,0.38103830000000005,0.3931,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-05-08,2016-05-10,0.89,0.4054585,0.4058,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-05-08,2016-05-10,0.12,0.38068040000000003,0.3949,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-05-09,2016-05-10,0.87,0.40356220000000004,0.4059,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-05-09,2016-05-10,0.14,0.3798375,0.394,NA,0.358,0
2016,West Virginia,Bernie Sanders,2016-05-10,2016-05-10,0.99,0.4028067,0.4076,NA,0.514,1
2016,West Virginia,Hillary Clinton,2016-05-10,2016-05-10,0.01,0.3794923,0.3865,NA,0.358,0
2016,Virginia,Hillary Clinton,2015-12-05,2016-03-01,0.91,0.5960116,0.6051,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-05,2016-03-01,0.1,0.1831251,0.256,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-06,2016-03-01,0.91,0.5960804000000001,0.6063,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-06,2016-03-01,0.1,0.1829656,0.2555,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-07,2016-03-01,0.91,0.5960728000000001,0.6035,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-07,2016-03-01,0.1,0.1828451,0.253,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-08,2016-03-01,0.95,0.595829,0.6005,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-08,2016-03-01,0.05,0.1827704,0.2451,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-09,2016-03-01,0.95,0.5956304,0.6039,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-09,2016-03-01,0.08,0.1831124,0.2485,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-10,2016-03-01,0.95,0.5957681,0.6002,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-10,2016-03-01,0.08,0.1827927,0.256,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-11,2016-03-01,0.95,0.5959095,0.5985,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-11,2016-03-01,0.06,0.1824046,0.2559,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-12,2016-03-01,0.95,0.5959692,0.5992,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-12,2016-03-01,0.06,0.18225280000000002,0.255,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-13,2016-03-01,0.91,0.5960260000000001,0.599,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-13,2016-03-01,0.1,0.18210200000000001,0.2549,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-14,2016-03-01,0.91,0.5962507,0.6033,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-14,2016-03-01,0.1,0.1821436,0.2508,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-15,2016-03-01,0.94,0.5964325,0.6022,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-15,2016-03-01,0.09,0.1817212,0.2509,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-16,2016-03-01,0.94,0.5964698,0.5994,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-16,2016-03-01,0.09,0.1815346,0.2483,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-17,2016-03-01,0.94,0.5965374,0.598,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-17,2016-03-01,0.09,0.1813816,0.2491,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-18,2016-03-01,0.94,0.5966676,0.5995,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-18,2016-03-01,0.09,0.18195830000000002,0.2513,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-19,2016-03-01,0.94,0.5968439999999999,0.5985,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-19,2016-03-01,0.09,0.18147950000000002,0.2502,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-20,2016-03-01,0.94,0.5970481000000001,0.6002,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-20,2016-03-01,0.09,0.1809884,0.2477,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-21,2016-03-01,0.94,0.5974823,0.616,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-21,2016-03-01,0.1,0.1805272,0.2397,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-22,2016-03-01,0.9,0.5972058,0.5913,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-22,2016-03-01,0.12,0.1805348,0.2536,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-23,2016-03-01,0.91,0.5972514000000001,0.592,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-23,2016-03-01,0.11,0.180475,0.2524,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-24,2016-03-01,0.91,0.5972523000000001,0.5946,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-24,2016-03-01,0.11,0.18046790000000001,0.2507,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-25,2016-03-01,0.91,0.5972417999999999,0.5948,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-25,2016-03-01,0.12,0.18047080000000001,0.2509,NA,0.35200000000000004,0
2016,Virginia,Hillary Clinton,2015-12-26,2016-03-01,0.91,0.5972429,0.5961,NA,0.643,1
2016,Virginia,Bernie Sanders,2015-12-26,2016-03-01,0.12,0.18046769999999998,0.2504,NA,0.35200000000000004,0
